"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
246, 3.280532884501169e-01, 4.647378089676451e-02, 1.714321384246145e+05, 3.953735204236127e-02, 2.472723166625145e+00
247, 3.330412776843755e-01, 4.648819889605776e-02, 1.702285849468470e+05, 3.885860065382088e-02, 2.477343083125065e+00
248, 3.380292788210936e-01, 4.649764090462459e-02, 1.690826672276841e+05, 3.821235330594432e-02, 2.481600144758619e+00
249, 3.430172868967594e-01, 4.650210688487501e-02, 1.678625220526965e+05, 3.752424492767769e-02, 2.486287008320103e+00
250, 3.480052969455153e-01, 4.650159681902694e-02, 1.666509120927421e+05, 3.684095003644120e-02, 2.490927416924532e+00
251, 3.529933035021677e-01, 4.649577377095625e-02, 1.653446176979861e+05, 3.610425727566100e-02, 2.495913881015899e+00
252, 3.579812983683276e-01, 4.648350727846084e-02, 1.639311621194655e+05, 3.530713030599728e-02, 2.501342695694938e+00
253, 3.629692748375665e-01, 4.646522759989354e-02, 1.624474007193568e+05, 3.447035393569876e-02, 2.507182651633742e+00
254, 3.679572286107065e-01, 4.644153050301130e-02, 1.610839763237717e+05, 3.370144235946378e-02, 2.512568472778318e+00
255, 3.729451570011371e-01, 4.641301174805064e-02, 1.598367840906639e+05, 3.299808062636572e-02, 2.517445751601942e+00
256, 3.779330598744760e-01, 4.638026706971410e-02, 1.586775191572829e+05, 3.234430603491337e-02, 2.522239744612362e+00
257, 3.829209374329473e-01, 4.634389218231192e-02, 1.576163464906685e+05, 3.174585118080772e-02, 2.526664663905612e+00
258, 3.879087920075990e-01, 4.630448276404386e-02, 1.565991449900907e+05, 3.117219413631705e-02, 2.531016045816781e+00
259, 3.928966267151520e-01, 4.626263446421573e-02, 1.555974287335769e+05, 3.060727009048782e-02, 2.535262200222269e+00
260, 3.978844456315335e-01, 4.621894290326065e-02, 1.546448658771214e+05, 3.007006640703332e-02, 2.539251423950696e+00
261, 4.028722545273898e-01, 4.617412127446422e-02, 1.536921440400211e+05, 2.953277306546609e-02, 2.543125330610236e+00
262, 4.078600577790653e-01, 4.612867676195068e-02, 1.527529821412849e+05, 2.900312693456550e-02, 2.547167487066250e+00
263, 4.128478479787425e-01, 4.608182445827674e-02, 1.517508545450210e+05, 2.843797091115349e-02, 2.551366215392749e+00
264, 4.178356159973376e-01, 4.603267104782297e-02, 1.506815295428559e+05, 2.783491849725756e-02, 2.555886061745012e+00
265, 4.228233514802271e-01, 4.598032326898460e-02, 1.494647639082966e+05, 2.714871603160786e-02, 2.560898838895510e+00
266, 4.278110422906440e-01, 4.592388794265356e-02, 1.481204541890433e+05, 2.639058429469152e-02, 2.566511318164722e+00
267, 4.327986742279581e-01, 4.586247200408777e-02, 1.467259041798753e+05, 2.560411923717898e-02, 2.572535257402371e+00
268, 4.377862302438027e-01, 4.579518254880970e-02, 1.452352599495242e+05, 2.476346125241929e-02, 2.578908116104761e+00
